date	co	local	party	score
2002/12	16	서울	야당	2,447,376
2002/12	16	서울	여당	2,792,957
2002/12	16	서울	기타	203,657
2002/12	16	인천	야당	547,205
2002/12	16	인천	여당	611,786
2002/12	16	인천	기타	68,825
2002/12	16	경기	야당	2,120,191
2002/12	16	경기	여당	2,430,193
2002/12	16	경기	기타	247,622
2002/12	16	강원	야당	400,405
2002/12	16	강원	여당	316,004
2002/12	16	강원	기타	46,528
2002/12	16	대전	야당	266,760
2002/12	16	대전	여당	369,046
2002/12	16	대전	기타	34,040
2002/12	16	충남	야당	375,110
2002/12	16	충남	여당	474,531
2002/12	16	충남	기타	60,177
2002/12	16	충북	야당	311,044
2002/12	16	충북	여당	365,623
2002/12	16	충북	기타	48,495
2002/12	16	광주	야당	26,869
2002/12	16	광주	여당	715,181
2002/12	16	광주	기타	9,366
2002/12	16	전남	야당	53,074
2002/12	16	전남	여당	1,070,506
2002/12	16	전남	기타	22,740
2002/12	16	전북	야당	65,334
2002/12	16	전북	여당	966,053
2002/12	16	전북	기타	23,413
2002/12	16	부산	야당	1,314,274
2002/12	16	부산	여당	587,946
2002/12	16	부산	기타	66,853
2002/12	16	울산	야당	267,737
2002/12	16	울산	여당	178,584
2002/12	16	울산	기타	60,001
2002/12	16	경남	야당	1,083,564
2002/12	16	경남	여당	434,642
2002/12	16	경남	기타	86,538
2002/12	16	대구	야당	1,002,164
2002/12	16	대구	여당	240,745
2002/12	16	대구	기타	46,000
2002/12	16	경북	야당	1,056,446
2002/12	16	경북	여당	311,358
2002/12	16	경북	기타	70,134
2002/12	16	제주	야당	105,744
2002/12	16	제주	여당	148,423
2002/12	16	제주	기타	14,060
