date	co	local	party	score
1992/12	14	서울	여당	2,167,298
1992/12	14	서울	야당	2,246,636
1992/12	14	서울	기타	1,537,843
1992/12	14	인천	여당	397,361
1992/12	14	인천	야당	338,538
1992/12	14	인천	기타	330,389
1992/12	14	경기	여당	1,254,025
1992/12	14	경기	야당	1,103,498
1992/12	14	경기	기타	1,093,872
1992/12	14	강원	여당	340,528
1992/12	14	강원	야당	127,265
1992/12	14	강원	기타	352,462
1992/12	14	대전	여당	202,137
1992/12	14	대전	야당	165,067
1992/12	14	대전	기타	207,199
1992/12	14	충남	여당	351,789
1992/12	14	충남	야당	271,921
1992/12	14	충남	기타	328,744
1992/12	14	충북	여당	281,678
1992/12	14	충북	야당	191,743
1992/12	14	충북	기타	262,750
1992/12	14	광주	여당	14,504
1992/12	14	광주	야당	652,337
1992/12	14	광주	기타	13,759
1992/12	14	전남	여당	53,360
1992/12	14	전남	야당	1,170,398
1992/12	14	전남	기타	46,265
1992/12	14	전북	여당	63,175
1992/12	14	전북	야당	991,483
1992/12	14	전북	기타	57,692
1992/12	14	부산	여당	1,551,473
1992/12	14	부산	야당	265,055
1992/12	14	부산	기타	298,861
1992/12	14	경남	여당	1,514,043
1992/12	14	경남	야당	193,373
1992/12	14	경남	기타	386,174
1992/12	14	대구	여당	690,245
1992/12	14	대구	야당	90,641
1992/12	14	대구	기타	377,307
1992/12	14	경북	여당	991,424
1992/12	14	경북	야당	147,440
1992/12	14	경북	기타	392,773
1992/12	14	제주	여당	104,292
1992/12	14	제주	야당	85,889
1992/12	14	제주	기타	70,703
