date	co	local	party	score
2014/12	18	서울	여당	3,024,572
2014/12	18	서울	야당	3,227,639
2014/12	18	서울	기타	24,488
2014/12	18	인천	여당	852,600
2014/12	18	인천	야당	794,213
2014/12	18	인천	기타	6153
2014/12	18	경기	여당	3,528,915
2014/12	18	경기	야당	3,442,084
2014/12	18	경기	기타	25,724
2014/12	18	강원	여당	562,876
2014/12	18	강원	야당	340,870
2014/12	18	강원	기타	4,508
2014/12	18	세종	여당	33,587
2014/12	18	세종	야당	30,787
2014/12	18	세종	기타	323
2014/12	18	대전	여당	450,576
2014/12	18	대전	야당	448,310
2014/12	18	대전	기타	2,992
2014/12	18	충남	여당	658,928
2014/12	18	충남	야당	497,630
2014/12	18	충남	기타	6,378
2014/12	18	충북	여당	518,442
2014/12	18	충북	야당	398,907
2014/12	18	충북	기타	4,704
2014/12	18	광주	여당	69,574
2014/12	18	광주	야당	823,737
2014/12	18	광주	기타	2,275
2014/12	18	전남	여당	116,296
2014/12	18	전남	야당	1,038,347
2014/12	18	전남	기타	8,316
2014/12	18	전북	여당	150,315
2014/12	18	전북	야당	980,322
2014/12	18	전북	기타	5,938
2014/12	18	부산	여당	1,324,159
2014/12	18	부산	야당	882,511
2014/12	18	부산	기타	6,735
2014/12	18	울산	여당	413,977
2014/12	18	울산	야당	275,451
2014/12	18	울산	기타	3,005
2014/12	18	경남	여당	1,259,174
2014/12	18	경남	야당	724,896
2014/12	18	경남	기타	10,701
2014/12	18	대구	여당	1,267,789
2014/12	18	대구	야당	309,034
2014/12	18	대구	기타	5,017
2014/12	18	경북	여당	1,375,164
2014/12	18	경북	야당	316,659
2014/12	18	경북	기타	9,688
2014/12	18	제주	여당	166,184
2014/12	18	제주	야당	161,235
2014/12	18	제주	기타	1,916
2014/12	18	재외	여당	67,319
2014/12	18	재외	야당	89,192
2014/12	18	재외	기타	1,685
